City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Erzin,TR,36.9559,36.2,57.99,74,93,3.6,overcast clouds
258,Kaitangata,NZ,-46.2817,169.8464,60.44,74,81,6.17,broken clouds
259,Muisne,EC,0.6,-80.0333,74.1,84,99,6.64,overcast clouds
260,Provideniya,RU,64.3833,-173.3,37.51,81,100,11.18,light intensity shower rain
261,Aklavik,CA,68.2191,-135.0107,11.39,80,100,1.54,overcast clouds
262,Mehamn,NO,71.0357,27.8492,40.95,45,29,18.41,scattered clouds
263,Kuzedeyevo,RU,53.3308,87.2019,23.97,88,100,12.86,light snow
264,Ishigaki,JP,24.3448,124.1572,80.73,83,40,12.66,scattered clouds
265,Qaanaaq,GL,77.484,-69.3632,-4.22,93,100,4.92,overcast clouds
266,Svetlaya,RU,46.5389,138.3297,32.94,52,5,2.82,clear sky
267,Gizo,SB,-8.103,156.8419,84.6,65,74,3.74,broken clouds
268,Corning,US,42.1428,-77.0547,37.44,74,100,9.22,overcast clouds
269,Grand Gaube,MU,-20.0064,57.6608,70.2,69,59,4.0,broken clouds
270,Luanda,AO,-8.8368,13.2343,75.88,77,99,8.68,overcast clouds
271,Santa Maria Del Oro,MX,25.9333,-105.3667,52.48,50,41,4.61,scattered clouds
272,Fairbanks,US,64.8378,-147.7164,10.4,86,0,0.0,clear sky
273,Havoysund,NO,70.9963,24.6622,44.83,67,10,13.85,clear sky
274,Derzhavinsk,KZ,51.1,66.3167,18.16,94,93,9.53,overcast clouds
275,Las Vegas,US,36.175,-115.1372,56.1,23,0,8.05,clear sky
276,Candelaria,PH,13.9311,121.4233,84.7,69,97,8.34,overcast clouds
277,Beinamar,TD,8.6698,15.3813,70.18,39,72,2.15,broken clouds
278,Port Lincoln,AU,-34.7333,135.8667,62.4,62,2,16.73,clear sky
279,Dakoro,NE,14.5106,6.765,67.68,22,52,10.11,broken clouds
280,Najran,SA,17.4924,44.1277,59.65,34,14,0.49,few clouds
281,Portland,US,45.5234,-122.6762,44.58,66,0,12.66,clear sky
282,Phuket,TH,8.0,98.25,84.09,100,20,9.22,few clouds
283,Marawi,PH,7.9986,124.2928,71.22,89,100,1.68,overcast clouds
284,San Vicente,AR,-26.6167,-54.1333,58.23,75,0,2.68,clear sky
285,Norman Wells,CA,65.282,-126.8329,-0.36,85,40,0.0,scattered clouds
286,Guerrero Negro,MX,27.9769,-114.0611,67.39,40,0,5.5,clear sky
287,Port-Gentil,GA,-0.7193,8.7815,76.93,85,100,10.87,moderate rain
288,Muromtsevo,RU,56.3724,75.2418,10.17,90,100,4.97,overcast clouds
289,Vesyegonsk,RU,58.664,37.2604,27.91,96,100,3.42,snow
290,Lokosovo,RU,61.1333,74.8167,-12.66,97,25,3.33,scattered clouds
291,Jeremie,HT,18.65,-74.1167,79.36,83,13,2.21,few clouds
292,Ayan,RU,56.45,138.1667,14.76,46,6,3.42,clear sky
293,Mayo,US,38.8876,-76.5119,45.1,64,100,17.27,overcast clouds
294,Salym,RU,60.0625,71.4789,-16.17,99,22,2.82,few clouds
295,Nyrob,RU,60.733,56.7202,-0.36,97,13,1.83,few clouds
296,Seoul,KR,37.5683,126.9778,53.17,59,0,5.75,clear sky
